stacks section,TITLE,AUTHOR,PUBLISHER,Year,EDITION,CUSTOM BINDING (Y/N),NOTES
"Row 2, section 1","Repertoire General des Sources Manuscripts de L'Histoire de Paris pendant la Revolution Francoise, vol. 1","Teutey, Alexandre",Imprimerie Nouvelle,1890,,Y,
"Row 2, section 1","Repertoire General des Sources Manuscripts de L'Histoire de Paris pendant la Revolution Francoise, vol. 2","Teutey, Alexandre",Imprimerie Nouvelle,1890,,Y,
"Row 2, section 1","Repertoire General des Sources Manuscripts de L'Histoire de Paris pendant la Revolution Francoise, vol. 3","Teutey, Alexandre",Imprimerie Nouvelle,1890,,Y,
"Row 2, section 1","Repertoire General des Sources Manuscripts de L'Histoire de Paris pendant la Revolution Francoise, vol. 4","Teutey, Alexandre",Imprimerie Nouvelle,1890,,Y,
"Row 2, section 1","Repertoire General des Sources Manuscripts de L'Histoire de Paris pendant la Revolution Francoise, vol. 5","Teutey, Alexandre",Imprimerie Nouvelle,1890,,Y,
"Row 2, section 1","Repertoire General des Sources Manuscripts de L'Histoire de Paris pendant la Revolution Francoise, vol. 6","Teutey, Alexandre",Imprimerie Nouvelle,1890,,Y,
"Row 2, section 1","Repertoire General des Sources Manuscripts de L'Histoire de Paris pendant la Revolution Francoise, vol. 7","Teutey, Alexandre",Imprimerie Nouvelle,1890,,Y,
"Row 2, section 1","Repertoire General des Sources Manuscripts de L'Histoire de Paris pendant la Revolution Francoise, vol. 8","Teutey, Alexandre",Imprimerie Nouvelle,1890,,Y,
"Row 2, section 1","Repertoire General des Sources Manuscripts de L'Histoire de Paris pendant la Revolution Francoise, vol. 9","Teutey, Alexandre",Imprimerie Nouvelle,1890,,Y,
"Row 2, section 1","Repertoire General des Sources Manuscripts de L'Histoire de Paris pendant la Revolution Francoise, vol. 10","Teutey, Alexandre",Imprimerie Nouvelle,1890,,Y,
"Row 2, section 1","Repertoire General des Sources Manuscripts de L'Histoire de Paris pendant la Revolution Francoise, vol. 11","Teutey, Alexandre",Imprimerie Nouvelle,1890,,Y,
"Row 2, section 1","L'Assistance Publique a Paris pendant la Revolution, vol. 1","Teutey, Alexandre",Impremerie Nationale,1895,,Y,
"Row 2, section 1","L'Assistance Publique a Paris pendant la Revolution, vol. 2","Teutey, Alexandre",Impremerie Nationale,1895,,Y,
"Row 2, section 1","L'Assistance Publique a Paris pendant la Revolution, vol. 4","Teutey, Alexandre",Impremerie Nationale,1895,,Y,
"Row 2, section 1","Bibliographie de L'Histoire de Paris pendant la Revolution Francoise, vol. 1","Tourneaux, Maurice",Ville de Paris ,1968,,Y,
"Row 2, section 1","Bibliographie de L'Histoire de Paris pendant la Revolution Francoise, vol. 3","Tourneaux, Maurice",Ville de Paris ,1968,,Y,
"Row 2, section 1",The Ordeal of Captain Roeder ,"Roeder, Helen",St. Martin's Press,1961,,N,
"Row 2, section 1",1814,"Fain, Agathon Jean Francois",Artheme Bayard,,,Y,
"Row 2, section 1",Condorcet abd Modernity ,"Williams, David",Cambridge University Press,2004,,N,
"Row 2, section 1",The Saint-Napoleon,"Hazareesingh, Sudhir",Harvard University Press,2004,,N,
"Row 2, section 1",Unnaturally French,"Sahlins, Peter",Cornell University Press,2004,,N,
"Row 2, section 1","France Militaire, vol. 1","Hugo, A.",Chez Delloye,1833,,N,
"Row 2, section 1","France Militaire, vol. 2","Hugo, A.",Chez Delloye,1833,,N,
"Row 2, section 1","France Militaire, vol. 3","Hugo, A.",Chez Delloye,1833,,N,
"Row 2, section 1","France Militaire, vol. 4","Hugo, A.",Chez Delloye,1833,,N,
